2,"[{'certification': '', 'iso_3166_1': 'US', 'primary': False, 'release_date': '1989-08-10'}, {'certification': '', 'iso_3166_1': 'FR', 'primary': False, 'release_date': '1989-08-30'}, {'certification': '', 'iso_3166_1': 'GB', 'primary': False, 'release_date': '1989-06-30'}, {'certification': 'K-12', 'iso_3166_1': 'FI', 'primary': False, 'release_date': '1988-10-21'}]"
3,"[{'certification': '', 'iso_3166_1': 'US', 'primary': False, 'release_date': '1990-08-22'}, {'certification': '', 'iso_3166_1': 'FI', 'primary': False, 'release_date': '1986-10-17'}]"
5,"[{'certification': '', 'iso_3166_1': 'CA', 'primary': False, 'release_date': '1995-09-16'}, {'certification': 'R', 'iso_3166_1': 'US', 'primary': False, 'release_date': '1995-12-25'}, {'certification': '16', 'iso_3166_1': 'DE', 'primary': False, 'release_date': '1996-02-29'}, {'certification': '', 'iso_3166_1': 'CZ', 'primary': False, 'release_date': '1997-07-31'}, {'certification': '18', 'iso_3166_1': 'GB', 'primary': False, 'release_date': '1995-12-26'}, {'certification': '', 'iso_3166_1': 'ES', 'primary': False, 'release_date': '1996-05-13'}, {'certification': '', 'iso_3166_1': 'IT', 'primary': False, 'release_date': '1996-04-12'}, {'certification': 'MA15+', 'iso_3166_1': 'AU', 'primary': False, 'release_date': '1996-03-28'}, {'certification': 'MA15+', 'iso_3166_1': 'AU', 'primary': False, 'release_date': '2002-02-14'}, {'certification': '', 'iso_3166_1': 'JP', 'primary': False, 'release_date': '1995-12-09'}, {'certification': '', 'iso_3166_1': 'IE', 'primary': False, 'release_date': '1995-12-27'}, {'certification': '', 'iso_3166_1': 'DK', 'primary': False, 'release_date': '1996-02-02'}, {'certification': '', 'iso_3166_1': 'BR', 'primary': False, 'release_date': '1996-02-16'}, {'certification': '', 'iso_3166_1': 'GR', 'primary': False, 'release_date': '1996-04-12'}, {'certification': '', 'iso_3166_1': 'KR', 'primary': False, 'release_date': '1996-04-13'}, {'certification': '', 'iso_3166_1': 'HK', 'primary': False, 'release_date': '1996-05-30'}, {'certification': '', 'iso_3166_1': 'FI', 'primary': False, 'release_date': '1996-08-23'}, {'certification': '', 'iso_3166_1': 'TR', 'primary': False, 'release_date': '1996-09-13'}, {'certification': '', 'iso_3166_1': 'SE', 'primary': False, 'release_date': '1996-09-20'}, {'certification': '', 'iso_3166_1': 'AR', 'primary': False, 'release_date': '1996-10-24'}, {'certification': '', 'iso_3166_1': 'HU', 'primary': False, 'release_date': '1996-11-07'}, {'certification': '', 'iso_3166_1': 'MX', 'primary': False, 'release_date': '1996-11-13'}, {'certification': '', 'iso_3166_1': 'ZA', 'primary': False, 'release_date': '1996-11-15'}, {'certification': '', 'iso_3166_1': 'PL', 'primary': False, 'release_date': '1997-02-21'}, {'certification': '', 'iso_3166_1': 'NO', 'primary': False, 'release_date': '1997-04-10'}, {'certification': '12', 'iso_3166_1': 'NL', 'primary': False, 'release_date': '1997-08-07'}, {'certification': '', 'iso_3166_1': 'PT', 'primary': False, 'release_date': '1997-09-12'}, {'certification': '', 'iso_3166_1': 'SK', 'primary': False, 'release_date': '1997-12-25'}, {'certification': '12', 'iso_3166_1': 'NL', 'primary': False, 'release_date': '2006-12-01'}, {'certification': '12', 'iso_3166_1': 'NL', 'primary': False, 'release_date': '2007-08-12'}]"
6,"[{'certification': 'R', 'iso_3166_1': 'US', 'primary': False, 'release_date': '1993-10-15'}, {'certification': '16', 'iso_3166_1': 'HU', 'primary': False, 'release_date': '1994-04-21'}, {'certification': '12', 'iso_3166_1': 'NL', 'primary': False, 'release_date': '2007-04-12'}, {'certification': '12', 'iso_3166_1': 'NL', 'primary': False, 'release_date': '2002-12-03'}]"
8,"[{'certification': '', 'iso_3166_1': 'US', 'primary': False, 'release_date': '2006-01-01'}, {'certification': '', 'iso_3166_1': 'CZ', 'primary': False, 'release_date': '2006-07-04'}, {'certification': '0', 'iso_3166_1': 'LV', 'primary': False, 'release_date': '2015-06-24'}, {'certification': '', 'iso_3166_1': 'PL', 'primary': False, 'release_date': '2006-10-07'}, {'certification': '', 'iso_3166_1': 'DE', 'primary': False, 'release_date': '2006-10-27'}, {'certification': '', 'iso_3166_1': 'ES', 'primary': False, 'release_date': '2006-11-07'}]"
9,"[{'certification': '', 'iso_3166_1': 'US', 'primary': False, 'release_date': '2004-09-02'}]"
11,"[{'certification': 'PG', 'iso_3166_1': 'US', 'primary': False, 'release_date': '1977-05-25'}, {'certification': '', 'iso_3166_1': 'JP', 'primary': False, 'release_date': '1978-06-24'}, {'certification': 'U', 'iso_3166_1': 'GB', 'primary': False, 'release_date': '1977-12-27'}, {'certification': '12', 'iso_3166_1': 'DE', 'primary': False, 'release_date': '1978-02-08'}, {'certification': 'U', 'iso_3166_1': 'FR', 'primary': False, 'release_date': '1977-10-18'}, {'certification': '', 'iso_3166_1': 'IT', 'primary': False, 'release_date': '1977-10-20'}, {'certification': '', 'iso_3166_1': 'PH', 'primary': False, 'release_date': '1977-08-23'}, {'certification': '', 'iso_3166_1': 'CZ', 'primary': False, 'release_date': '1997-03-27'}, {'certification': '12', 'iso_3166_1': 'HU', 'primary': False, 'release_date': '1997-03-27'}, {'certification': '12', 'iso_3166_1': 'NL', 'primary': False, 'release_date': '1977-12-15'}, {'certification': '10', 'iso_3166_1': 'BR', 'primary': False, 'release_date': '1977-11-17'}, {'certification': '', 'iso_3166_1': 'ES', 'primary': False, 'release_date': '1977-11-07'}, {'certification': '', 'iso_3166_1': 'PT', 'primary': False, 'release_date': '1997-03-21'}, {'certification': 'K-12', 'iso_3166_1': 'FI', 'primary': False, 'release_date': '1977-12-15'}, {'certification': '', 'iso_3166_1': 'SE', 'primary': False, 'release_date': '1977-12-16'}, {'certification': '', 'iso_3166_1': 'AR', 'primary': False, 'release_date': '1997-03-27'}, {'certification': '', 'iso_3166_1': 'NO', 'primary': False, 'release_date': '1997-03-21'}, {'certification': '', 'iso_3166_1': 'IE', 'primary': False, 'release_date': '1997-03-21'}, {'certification': '', 'iso_3166_1': 'UY', 'primary': False, 'release_date': '1997-03-21'}, {'certification': '', 'iso_3166_1': 'HK', 'primary': False, 'release_date': '1997-03-27'}, {'certification': '12세 이상 관람가', 'iso_3166_1': 'KR', 'primary': False, 'release_date': '1997-04-12'}, {'certification': '', 'iso_3166_1': 'JP', 'primary': False, 'release_date': '1978-07-01'}, {'certification': '', 'iso_3166_1': 'IN', 'primary': False, 'release_date': '1997-04-18'}, {'certification': '', 'iso_3166_1': 'IS', 'primary': False, 'release_date': '1997-03-21'}, {'certification': 'C', 'iso_3166_1': 'BG', 'primary': False, 'release_date': '1982-04-26'}, {'certification': '', 'iso_3166_1': 'TW', 'primary': False, 'release_date': '1997-02-13'}, {'certification': '', 'iso_3166_1': 'BE', 'primary': False, 'release_date': '1997-03-19'}, {'certification': '', 'iso_3166_1': 'AT', 'primary': False, 'release_date': '1997-03-21'}, {'certification': '', 'iso_3166_1': 'CO', 'primary': False, 'release_date': '1997-03-21'}, {'certification': '', 'iso_3166_1': 'IL', 'primary': False, 'release_date': '1997-03-21'}, {'certification': '', 'iso_3166_1': 'RO', 'primary': False, 'release_date': '1997-03-21'}, {'certification': '', 'iso_3166_1': 'ZA', 'primary': False, 'release_date': '1997-03-21'}, {'certification': '', 'iso_3166_1': 'CH', 'primary': False, 'release_date': '1997-03-21'}, {'certification': '', 'iso_3166_1': 'VE', 'primary': False, 'release_date': '1997-03-26'}, {'certification': '', 'iso_3166_1': 'BO', 'primary': False, 'release_date': '1997-03-27'}, {'certification': '', 'iso_3166_1': 'CL', 'primary': False, 'release_date': '1997-03-27'}, {'certification': '', 'iso_3166_1': 'HR', 'primary': False, 'release_date': '1997-03-27'}, {'certification': '', 'iso_3166_1': 'NZ', 'primary': False, 'release_date': '1997-03-27'}, {'certification': '', 'iso_3166_1': 'PE', 'primary': False, 'release_date': '1997-03-27'}, {'certification': '', 'iso_3166_1': 'SI', 'primary': False, 'release_date': '1997-03-27'}, {'certification': '', 'iso_3166_1': 'LV', 'primary': False, 'release_date': '1997-03-28'}, {'certification': '', 'iso_3166_1': 'LB', 'primary': False, 'release_date': '1997-03-28'}, {'certification': '', 'iso_3166_1': 'LT', 'primary': False, 'release_date': '1997-03-28'}, {'certification': '', 'iso_3166_1': 'PA', 'primary': False, 'release_date': '1997-03-28'}, {'certification': '', 'iso_3166_1': 'TH', 'primary': False, 'release_date': '1997-03-28'}, {'certification': '', 'iso_3166_1': 'TR', 'primary': False, 'release_date': '1997-03-28'}, {'certification': '', 'iso_3166_1': 'JM', 'primary': False, 'release_date': '1997-04-02'}, {'certification': '', 'iso_3166_1': 'EG', 'primary': False, 'release_date': '1997-04-28'}, {'certification': '', 'iso_3166_1': 'MY', 'primary': False, 'release_date': '1997-05-01'}, {'certification': '', 'iso_3166_1': 'SG', 'primary': False, 'release_date': '1997-05-29'}, {'certification': '', 'iso_3166_1': 'EE', 'primary': False, 'release_date': '1997-05-30'}, {'certification': '', 'iso_3166_1': 'ID', 'primary': False, 'release_date': '1997-06-17'}, {'certification': '', 'iso_3166_1': 'GR', 'primary': False, 'release_date': '1977-11-08'}, {'certification': '', 'iso_3166_1': 'MX', 'primary': False, 'release_date': '1977-12-23'}, {'certification': 'PG', 'iso_3166_1': 'AU', 'primary': False, 'release_date': '1977-10-26'}, {'certification': 'PG', 'iso_3166_1': 'AU', 'primary': False, 'release_date': '1982-04-29'}, {'certification': 'PG', 'iso_3166_1': 'AU', 'primary': False, 'release_date': '1997-03-19'}, {'certification': '11', 'iso_3166_1': 'DK', 'primary': False, 'release_date': '1977-12-26'}, {'certification': '', 'iso_3166_1': 'PL', 'primary': False, 'release_date': '1979-03-29'}, {'certification': 'PG', 'iso_3166_1': 'CA', 'primary': False, 'release_date': '1977-05-25'}, {'certification': 'M/12', 'iso_3166_1': 'PT', 'primary': False, 'release_date': '1977-12-06'}, {'certification': '12', 'iso_3166_1': 'HU', 'primary': False, 'release_date': '1979-08-15'}, {'certification': '', 'iso_3166_1': 'JP', 'primary': False, 'release_date': '1997-05-31'}, {'certification': 'PG', 'iso_3166_1': 'US', 'primary': False, 'release_date': '1997-01-31'}, {'certification': 'PG', 'iso_3166_1': 'US', 'primary': False, 'release_date': '1977-05-25'}, {'certification': 'PG', 'iso_3166_1': 'US', 'primary': False, 'release_date': '2004-09-01'}, {'certification': '', 'iso_3166_1': 'PL', 'primary': False, 'release_date': '1997-04-04'}]"
12,"[{'certification': '', 'iso_3166_1': 'NO', 'primary': False, 'release_date': '2003-07-05'}, {'certification': 'U', 'iso_3166_1': 'FR', 'primary': False, 'release_date': '2003-09-13'}, {'certification': '', 'iso_3166_1': 'GR', 'primary': False, 'release_date': '2003-09-14'}, {'certification': '', 'iso_3166_1': 'BE', 'primary': False, 'release_date': '2003-10-17'}, {'certification': '', 'iso_3166_1': 'JP', 'primary': False, 'release_date': '2003-11-09'}, {'certification': '', 'iso_3166_1': 'JP', 'primary': False, 'release_date': '2003-11-29'}, {'certification': '', 'iso_3166_1': 'PH', 'primary': False, 'release_date': '2003-08-13'}, {'certification': '', 'iso_3166_1': 'PH', 'primary': False, 'release_date': '2003-08-20'}, {'certification': 'G', 'iso_3166_1': 'US', 'primary': False, 'release_date': '2003-05-30'}, {'certification': '0', 'iso_3166_1': 'DE', 'primary': False, 'release_date': '2003-11-19'}, {'certification': 'U', 'iso_3166_1': 'GB', 'primary': False, 'release_date': '2003-10-10'}, {'certification': '', 'iso_3166_1': 'IL', 'primary': False, 'release_date': '2003-07-03'}, {'certification': '7', 'iso_3166_1': 'DK', 'primary': False, 'release_date': '2003-11-14'}, {'certification': 'G', 'iso_3166_1': 'TH', 'primary': False, 'release_date': '2003-10-03'}, {'certification': 'U', 'iso_3166_1': 'FR', 'primary': False, 'release_date': '2003-11-26'}, {'certification': '', 'iso_3166_1': 'KR', 'primary': False, 'release_date': '2003-06-06'}, {'certification': 'G', 'iso_3166_1': 'AU', 'primary': False, 'release_date': '2003-08-28'}, {'certification': '', 'iso_3166_1': 'IT', 'primary': False, 'release_date': '2003-12-03'}, {'certification': 'L', 'iso_3166_1': 'BR', 'primary': False, 'release_date': '2003-07-04'}, {'certification': '', 'iso_3166_1': 'TR', 'primary': False, 'release_date': '2004-01-23'}, {'certification': '', 'iso_3166_1': 'CA', 'primary': False, 'release_date': '2003-05-30'}, {'certification': '', 'iso_3166_1': 'SG', 'primary': False, 'release_date': '2003-06-06'}, {'certification': '', 'iso_3166_1': 'TW', 'primary': False, 'release_date': '2003-06-14'}, {'certification': '', 'iso_3166_1': 'AR', 'primary': False, 'release_date': '2003-07-03'}, {'certification': '', 'iso_3166_1': 'PE', 'primary': False, 'release_date': '2003-07-03'}, {'certification': '', 'iso_3166_1': 'CL', 'primary': False, 'release_date': '2003-07-04'}, {'certification': '', 'iso_3166_1': 'MX', 'primary': False, 'release_date': '2003-07-04'}, {'certification': '', 'iso_3166_1': 'HK', 'primary': False, 'release_date': '2003-07-17'}, {'certification': '', 'iso_3166_1': 'PA', 'primary': False, 'release_date': '2003-07-23'}, {'certification': '', 'iso_3166_1': 'CN', 'primary': False, 'release_date': '2003-07-30'}, {'certification': '', 'iso_3166_1': 'NZ', 'primary': False, 'release_date': '2003-08-28'}, {'certification': '', 'iso_3166_1': 'EG', 'primary': False, 'release_date': '2003-09-03'}, {'certification': '', 'iso_3166_1': 'LT', 'primary': False, 'release_date': '2003-09-05'}, {'certification': '', 'iso_3166_1': 'BH', 'primary': False, 'release_date': '2003-10-01'}, {'certification': '', 'iso_3166_1': 'IE', 'primary': False, 'release_date': '2003-10-10'}, {'certification': '', 'iso_3166_1': 'CZ', 'primary': False, 'release_date': '2003-11-13'}, {'certification': '', 'iso_3166_1': 'SK', 'primary': False, 'release_date': '2003-11-13'}, {'certification': '7', 'iso_3166_1': 'SE', 'primary': False, 'release_date': '2003-11-14'}, {'certification': '', 'iso_3166_1': 'AT', 'primary': False, 'release_date': '2003-11-20'}, {'certification': '', 'iso_3166_1': 'HU', 'primary': False, 'release_date': '2003-11-20'}, {'certification': '', 'iso_3166_1': 'PL', 'primary': False, 'release_date': '2003-11-21'}, {'certification': '', 'iso_3166_1': 'KW', 'primary': False, 'release_date': '2003-11-25'}, {'certification': '', 'iso_3166_1': 'BE', 'primary': False, 'release_date': '2003-11-26'}, {'certification': '6', 'iso_3166_1': 'NL', 'primary': False, 'release_date': '2003-11-26'}, {'certification': '', 'iso_3166_1': 'ES', 'primary': False, 'release_date': '2003-11-28'}, {'certification': '', 'iso_3166_1': 'FI', 'primary': False, 'release_date': '2003-11-28'}, {'certification': '', 'iso_3166_1': 'IS', 'primary': False, 'release_date': '2003-11-28'}, {'certification': '', 'iso_3166_1': 'HR', 'primary': False, 'release_date': '2003-12-04'}, {'certification': '', 'iso_3166_1': 'GR', 'primary': False, 'release_date': '2003-12-05'}, {'certification': '', 'iso_3166_1': 'PT', 'primary': False, 'release_date': '2003-12-05'}, {'certification': '', 'iso_3166_1': 'SI', 'primary': False, 'release_date': '2003-12-11'}, {'certification': '', 'iso_3166_1': 'KZ', 'primary': False, 'release_date': '2003-12-25'}, {'certification': '0+', 'iso_3166_1': 'RU', 'primary': False, 'release_date': '2003-12-25'}, {'certification': '', 'iso_3166_1': 'EE', 'primary': False, 'release_date': '2003-12-26'}, {'certification': '', 'iso_3166_1': 'JP', 'primary': False, 'release_date': '2003-12-06'}, {'certification': '', 'iso_3166_1': 'NO', 'primary': False, 'release_date': '2003-11-14'}, {'certification': '', 'iso_3166_1': 'CH', 'primary': False, 'release_date': '2003-11-19'}, {'certification': '', 'iso_3166_1': 'CH', 'primary': False, 'release_date': '2003-11-20'}, {'certification': 'L', 'iso_3166_1': 'BR', 'primary': False, 'release_date': '2012-10-12'}, {'certification': '7', 'iso_3166_1': 'SE', 'primary': False, 'release_date': '2012-12-25'}, {'certification': '7', 'iso_3166_1': 'SE', 'primary': False, 'release_date': '2004-03-17'}, {'certification': '7', 'iso_3166_1': 'SE', 'primary': False, 'release_date': '2013-03-06'}]"
13,"[{'certification': 'PG-13', 'iso_3166_1': 'US', 'primary': False, 'release_date': '1994-06-23'}, {'certification': '12', 'iso_3166_1': 'DE', 'primary': False, 'release_date': '1994-10-13'}, {'certification': '', 'iso_3166_1': 'CZ', 'primary': False, 'release_date': '1994-10-20'}, {'certification': '12', 'iso_3166_1': 'GB', 'primary': False, 'release_date': '1994-10-07'}, {'certification': 'K-12', 'iso_3166_1': 'FI', 'primary': False, 'release_date': '1994-10-07'}, {'certification': '11', 'iso_3166_1': 'DK', 'primary': False, 'release_date': '1994-10-07'}, {'certification': '12', 'iso_3166_1': 'NL', 'primary': False, 'release_date': '1994-09-22'}, {'certification': '', 'iso_3166_1': 'SK', 'primary': False, 'release_date': '1994-10-20'}, {'certification': 'U', 'iso_3166_1': 'FR', 'primary': False, 'release_date': '1994-10-05'}, {'certification': 'M', 'iso_3166_1': 'AU', 'primary': False, 'release_date': '1994-11-17'}, {'certification': '14', 'iso_3166_1': 'BR', 'primary': False, 'release_date': '1994-12-07'}, {'certification': '', 'iso_3166_1': 'ES', 'primary': False, 'release_date': '1994-09-23'}, {'certification': '11', 'iso_3166_1': 'SE', 'primary': False, 'release_date': '1994-10-14'}, {'certification': 'T', 'iso_3166_1': 'IT', 'primary': False, 'release_date': '1994-10-06'}, {'certification': '12', 'iso_3166_1': 'GR', 'primary': False, 'release_date': '1994-10-13'}, {'certification': 'PG-13', 'iso_3166_1': 'US', 'primary': False, 'release_date': '1994-07-06'}, {'certification': '', 'iso_3166_1': 'JP', 'primary': False, 'release_date': '1995-02-18'}, {'certification': 'M/12', 'iso_3166_1': 'PT', 'primary': False, 'release_date': '1994-10-28'}, {'certification': '', 'iso_3166_1': 'IL', 'primary': False, 'release_date': '1994-09-30'}, {'certification': '', 'iso_3166_1': 'NO', 'primary': False, 'release_date': '1994-09-30'}, {'certification': '', 'iso_3166_1': 'AR', 'primary': False, 'release_date': '1994-10-06'}, {'certification': '', 'iso_3166_1': 'IE', 'primary': False, 'release_date': '1994-10-07'}, {'certification': '', 'iso_3166_1': 'AT', 'primary': False, 'release_date': '1994-10-14'}, {'certification': '', 'iso_3166_1': 'KR', 'primary': False, 'release_date': '1994-10-15'}, {'certification': '', 'iso_3166_1': 'TW', 'primary': False, 'release_date': '1994-10-15'}, {'certification': '', 'iso_3166_1': 'UY', 'primary': False, 'release_date': '1994-10-20'}, {'certification': '', 'iso_3166_1': 'PH', 'primary': False, 'release_date': '1994-10-26'}, {'certification': '', 'iso_3166_1': 'SI', 'primary': False, 'release_date': '1994-11-03'}, {'certification': '', 'iso_3166_1': 'PL', 'primary': False, 'release_date': '1994-11-04'}, {'certification': '', 'iso_3166_1': 'TR', 'primary': False, 'release_date': '1994-11-11'}, {'certification': '', 'iso_3166_1': 'HU', 'primary': False, 'release_date': '1994-12-08'}, {'certification': '', 'iso_3166_1': 'HK', 'primary': False, 'release_date': '1994-12-15'}, {'certification': '', 'iso_3166_1': 'EE', 'primary': False, 'release_date': '1995-01-27'}, {'certification': 'PG-13', 'iso_3166_1': 'US', 'primary': False, 'release_date': '2001-08-28'}, {'certification': 'PG-13', 'iso_3166_1': 'US', 'primary': False, 'release_date': '2009-11-03'}, {'certification': '14', 'iso_3166_1': 'BR', 'primary': False, 'release_date': '2001-02-05'}, {'certification': '12+', 'iso_3166_1': 'RU', 'primary': False, 'release_date': '2009-12-01'}, {'certification': '11', 'iso_3166_1': 'SE', 'primary': False, 'release_date': '2001-11-07'}, {'certification': '11', 'iso_3166_1': 'SE', 'primary': False, 'release_date': '2009-11-25'}]"
14,"[{'certification': '', 'iso_3166_1': 'CA', 'primary': False, 'release_date': '1999-09-11'}, {'certification': '18', 'iso_3166_1': 'GB', 'primary': False, 'release_date': '1999-11-18'}, {'certification': '', 'iso_3166_1': 'CZ', 'primary': False, 'release_date': '2000-01-22'}, {'certification': '', 'iso_3166_1': 'SE', 'primary': False, 'release_date': '2000-02-02'}, {'certification': '', 'iso_3166_1': 'HR', 'primary': False, 'release_date': '2000-02-24'}, {'certification': 'R', 'iso_3166_1': 'US', 'primary': False, 'release_date': '1999-09-08'}, {'certification': 'R', 'iso_3166_1': 'US', 'primary': False, 'release_date': '1999-09-15'}, {'certification': '18', 'iso_3166_1': 'GB', 'primary': False, 'release_date': '2000-01-28'}, {'certification': '', 'iso_3166_1': 'FR', 'primary': False, 'release_date': '2000-02-02'}, {'certification': 'VM14', 'iso_3166_1': 'IT', 'primary': False, 'release_date': '2000-01-21'}, {'certification': '18', 'iso_3166_1': 'GB', 'primary': False, 'release_date': '2000-02-04'}, {'certification': '16', 'iso_3166_1': 'DE', 'primary': False, 'release_date': '2000-01-20'}, {'certification': 'MA15+', 'iso_3166_1': 'AU', 'primary': False, 'release_date': '2000-01-26'}, {'certification': '14', 'iso_3166_1': 'BR', 'primary': False, 'release_date': '2000-02-25'}, {'certification': '18', 'iso_3166_1': 'ES', 'primary': False, 'release_date': '2000-01-28'}, {'certification': '16', 'iso_3166_1': 'GR', 'primary': False, 'release_date': '2000-02-18'}, {'certification': '15', 'iso_3166_1': 'DK', 'primary': False, 'release_date': '2000-02-18'}, {'certification': '', 'iso_3166_1': 'CH', 'primary': False, 'release_date': '2000-01-20'}, {'certification': '', 'iso_3166_1': 'CH', 'primary': False, 'release_date': '2000-02-02'}, {'certification': '', 'iso_3166_1': 'CH', 'primary': False, 'release_date': '2000-01-14'}, {'certification': 'R', 'iso_3166_1': 'US', 'primary': False, 'release_date': '1999-10-01'}, {'certification': '', 'iso_3166_1': 'IL', 'primary': False, 'release_date': '2000-01-13'}, {'certification': '', 'iso_3166_1': 'NL', 'primary': False, 'release_date': '2000-01-20'}, {'certification': '', 'iso_3166_1': 'FI', 'primary': False, 'release_date': '2000-01-21'}, {'certification': '', 'iso_3166_1': 'IS', 'primary': False, 'release_date': '2000-01-28'}, {'certification': '', 'iso_3166_1': 'NO', 'primary': False, 'release_date': '2000-01-28'}, {'certification': '', 'iso_3166_1': 'PT', 'primary': False, 'release_date': '2000-01-28'}, {'certification': '', 'iso_3166_1': 'BE', 'primary': False, 'release_date': '2000-02-02'}, {'certification': '', 'iso_3166_1': 'IE', 'primary': False, 'release_date': '2000-02-04'}, {'certification': '', 'iso_3166_1': 'PL', 'primary': False, 'release_date': '2000-02-11'}, {'certification': '+16', 'iso_3166_1': 'AR', 'primary': False, 'release_date': '2000-02-17'}, {'certification': '', 'iso_3166_1': 'CZ', 'primary': False, 'release_date': '2000-02-17'}, {'certification': '', 'iso_3166_1': 'HU', 'primary': False, 'release_date': '2000-02-17'}, {'certification': '', 'iso_3166_1': 'NZ', 'primary': False, 'release_date': '2000-02-17'}, {'certification': '', 'iso_3166_1': 'SK', 'primary': False, 'release_date': '2000-02-17'}, {'certification': '', 'iso_3166_1': 'TR', 'primary': False, 'release_date': '2000-02-18'}, {'certification': '', 'iso_3166_1': 'VE', 'primary': False, 'release_date': '2000-02-23'}, {'certification': '', 'iso_3166_1': 'CL', 'primary': False, 'release_date': '2000-02-24'}, {'certification': '', 'iso_3166_1': 'MX', 'primary': False, 'release_date': '2000-02-25'}, {'certification': '', 'iso_3166_1': 'SE', 'primary': False, 'release_date': '2000-02-25'}, {'certification': '', 'iso_3166_1': 'UY', 'primary': False, 'release_date': '2000-02-25'}, {'certification': '', 'iso_3166_1': 'KR', 'primary': False, 'release_date': '2000-02-26'}, {'certification': '', 'iso_3166_1': 'HK', 'primary': False, 'release_date': '2000-03-02'}, {'certification': '', 'iso_3166_1': 'SG', 'primary': False, 'release_date': '2000-03-02'}, {'certification': '', 'iso_3166_1': 'TW', 'primary': False, 'release_date': '2000-03-04'}, {'certification': '', 'iso_3166_1': 'TH', 'primary': False, 'release_date': '2000-03-17'}, {'certification': '16+', 'iso_3166_1': 'RU', 'primary': False, 'release_date': '2000-03-22'}, {'certification': '', 'iso_3166_1': 'EE', 'primary': False, 'release_date': '2000-03-24'}, {'certification': '', 'iso_3166_1': 'JP', 'primary': False, 'release_date': '2000-04-29'}, {'certification': '', 'iso_3166_1': 'KW', 'primary': False, 'release_date': '2000-05-10'}, {'certification': '', 'iso_3166_1': 'PH', 'primary': False, 'release_date': '2000-05-17'}, {'certification': '', 'iso_3166_1': 'PH', 'primary': False, 'release_date': '2000-06-07'}, {'certification': '18', 'iso_3166_1': 'BR', 'primary': False, 'release_date': '2000-06-23'}, {'certification': '16', 'iso_3166_1': 'BR', 'primary': False, 'release_date': '2003-06-27'}]"
