,Unnamed: 0,budget,id,release_date,revenue,runtime,title,genre,profit,made_money,cast_0,cast_1,cast_2,cast_3,cast_4,director,writer,releases,cast_rev,cast_prof,cast_films,cast_prof_films,dir_rev,dir_prof,dir_films,dir_prof_films,writ_rev,writ_prof,writ_films,writ_prof_films,compet_cast_rev,compet_cast_prof,compet_cast_films,compet_cast_prof_films,compet_dir_rev,compet_dir_prof,compet_dir_films,compet_dir_prof_films,compet_writ_rev,compet_writ_prof,compet_writ_films,compet_writ_prof_films,adj_budget,cast_dir_avg_rev,month,year,decade,season,fall,spring,summer,winter,Action,Adventure,Animation,Comedy,Crime,Drama,Family,Fantasy,History,Horror,Music,Mystery,None,Romance,Science Fiction,Thriller,War,Western,compet_budget,compet_cast_dir_avg_rev,compet_adj_budget
845,845,6000000.0,9377,1986-06-11,70136369.0,103.0,Ferris Bueller's Day Off,Comedy,64136369.0,1,Matthew Broderick,Alan Ruck,Mia Sara,Jeffrey Jones,Jennifer Grey,John Hughes,John Hughes,11,47534889.5,29284889.5,2.0,1.0,37605599.0,33855599.0,2.0,2.0,45536916.66666666,38036916.66666666,3.0,3.0,34030180.15833333,25504180.15833333,4.0,3.25,6552618.0,1702618.0,0.75,0.75,27282945.83333333,24924112.5,1.0,1.0,36570244.25,42570244.25,6,1986,1980,summer,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14000000.0,20291399.079166666,6291399.079166666
846,846,42000000.0,9378,2001-10-26,41867960.0,91.0,Thir13en Ghosts,Horror,-132040.0,0,Tony Shalhoub,Embeth Davidtz,Matthew Lillard,Shannon Elizabeth,Matthew Harrison,Steve Beck,Richard D'Ovidio,44,61474138.125,38161638.125,9.0,4.0,0.0,0.0,0.0,0.0,79958599.0,29958599.0,1.0,1.0,72173605.63060498,41866697.09102345,18.5,12.9,19283145.583333336,8936478.916666668,1.1,0.6,49244323.9,35644323.9,0.5,0.4,-11262930.9375,30737069.0625,10,2001,2000,fall,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,46400000.0,45728375.60696916,-671624.3930308372
847,847,70000000.0,9381,2008-08-20,72108608.0,101.0,Babylon A.D.,Action,2108608.0,1,Vin Diesel,Michelle Yeoh,Mélanie Thierry,Lambert Wilson,Charlotte Rampling,Mathieu Kassovitz,Éric Besnard,23,123054947.57738096,63762685.67261905,16.0,10.0,141591324.0,101591324.0,1.0,1.0,0.0,0.0,0.0,0.0,82168652.84515902,51517321.3023596,13.0,8.928571428571429,28482565.46428572,20464708.32142857,0.5714285714285714,0.42857142857142855,13928808.107142854,7071665.25,0.35714285714285715,0.21428571428571427,62323135.78869048,132323135.78869048,8,2008,2000,fall,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23857142.85714286,55325609.15472237,31468466.297579512
848,848,21000000.0,9382,1995-02-03,23450000.0,115.0,Boys on the Side,Comedy,2450000.0,1,Whoopi Goldberg,Mary-Louise Parker,Drew Barrymore,Matthew McConaughey,James Remar,Herbert Ross,Don Roos,2,181564859.9375,161127359.9375,14.0,12.0,40195658.333333336,22195658.33333333,3.0,1.0,48017402.0,32017402.0,1.0,1.0,53482886.95,40237886.95,4.0,3.0,2305286.75,574536.75,1.0,1.0,2305286.75,574536.75,1.0,1.0,89880259.13541667,110880259.13541669,2,1995,1990,spring,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6250000.0,27894086.85,21644086.85
849,849,95000000.0,9383,2000-08-04,190213455.0,112.0,Hollow Man,Action,95213455.0,1,Kevin Bacon,Elisabeth Shue,Josh Brolin,Kim Dickens,Rhona Mitra,Paul Verhoeven,Andrew W. Marlowe,51,67779987.54545455,44066351.18181819,20.0,15.0,113970763.0,70720763.0,4.0,3.0,263628698.0,171128698.0,2.0,2.0,83070707.6701636,49527396.61474729,23.5,19.75,16949499.145833332,12815644.979166664,3.0,3.0,0.0,0.0,0.0,0.0,-4124624.7272727187,90875375.27272728,8,2000,2000,fall,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48250000.0,50010103.407998465,1760103.407998465
850,850,60000000.0,9384,2004-03-05,170268750.0,101.0,Starsky & Hutch,Comedy,110268750.0,1,Ben Stiller,Owen Wilson,Snoop Dogg,Fred Williamson,Vince Vaughn,Todd Phillips,John O'Brien,55,68494836.59285715,42706503.25952381,28.0,18.0,103404813.5,83404813.5,2.0,2.0,56489558.0,31489558.0,1.0,1.0,83354295.47964859,52001351.49953918,17.153846153846153,11.538461538461535,39143568.32692308,25070491.40384615,1.0,0.6923076923076923,70867974.61538461,44267974.615384616,1.3846153846153846,1.3076923076923077,25949825.046428576,85949825.04642858,3,2004,2000,spring,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35057692.307692304,61248931.90328583,26191239.595593527
851,851,40000000.0,9386,1993-07-08,176997168.0,128.0,In the Line of Fire,Action,136997168.0,1,Clint Eastwood,Rene Russo,John Malkovich,Dylan McDermott,Gary Cole,Wolfgang Petersen,Jeff Maguire,11,129038704.05,106602592.93888888,20.0,18.0,11907221.0,-19092779.0,2.0,0.0,0.0,0.0,0.0,0.0,61946784.76875,42096729.21319445,11.4,8.6,17782965.4,12582965.4,0.8,0.6,22298972.6,14598972.6,0.4,0.2,30472962.52500001,70472962.525,7,1993,1990,summer,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23800000.0,39864875.084374994,16064875.084374994
852,852,20000000.0,9387,1982-04-02,79114085.0,129.0,Conan the Barbarian,Adventure,59114085.0,1,Arnold Schwarzenegger,James Earl Jones,Max von Sydow,Sandahl Bergman,Cassandra Gava,John Milius,John Milius,28,96108703.33333331,79108703.33333333,6.0,4.0,2000000.0,1000000.0,1.0,1.0,16877871.0,-1122129.0,2.0,1.0,10075000.0,9075000.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29054351.666666657,49054351.66666666,4,1982,1980,spring,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4250000.0,5037500.0,787500.0
853,853,6500000.0,9388,2005-09-05,24793509.0,92.0,Thank You for Smoking,Comedy,18293509.0,1,Aaron Eckhart,Maria Bello,Cameron Bright,Adam Brody,Sam Elliott,Jason Reitman,Jason Reitman,13,70937831.52678572,29071760.098214284,16.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113033059.3976126,73231378.10249594,12.277777777777779,8.722222222222221,33655055.87037037,23096204.01851852,0.9444444444444444,0.6666666666666666,45436100.46296296,37146841.03703704,0.6111111111111112,0.6111111111111112,28968915.76339286,35468915.76339286,9,2005,2000,fall,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18250000.0,73344057.63399148,55094057.63399148
854,854,50000000.0,9390,1996-12-13,273552592.0,139.0,Jerry Maguire,Comedy,223552592.0,1,Tom Cruise,Cuba Gooding Jr.,Renée Zellweger,Kelly Preston,Alison Armitage,Cameron Crowe,Cameron Crowe,35,111313872.72727272,89003266.66666667,15.0,12.0,0.0,0.0,0.0,0.0,27092880.0,22592880.0,1.0,1.0,82388066.79779509,60654883.73863204,17.4,13.2,50846382.9,36545382.9,2.8,2.6,4433671.8,2833671.8,0.2,0.2,5656936.36363636,55656936.36363636,12,1996,1990,winter,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38000000.0,66617224.84889755,28617224.848897547
